,time,nux_df,anue_df,nue_df
31,0.0006809457949802,2103563.6512030666,1131.0395126219132,3136275.525394577
32,0.000723996557612,2219690.3143901904,1193.0249739743863,3309526.7430554023
33,0.0007697565570124,2343201.24382178,1258.8974906852231,3493808.5682101757
34,0.0008183962887411,2474571.0455604973,1328.8997981839052,3689831.676161621
35,0.0008700969778503,2614305.3553337073,1403.2897713171956,3898353.595528066
36,0.0009250512541049,2762943.146635874,1482.3412794070352,4120181.9214032786
37,0.0009834638696947,2921058.7877298724,1566.3451612752265,4356177.714449973
38,0.0010455524621136,3089264.7322827233,1655.6101256919142,4607259.306627999
39,0.0011115483650471,3268213.919390774,1750.4639993065198,4874406.409829265
40,0.0011816974702905,3458602.7997301887,1851.2549115161275,5158664.048024782
41,0.0012562611439084,3661174.172957194,1958.3522315135338,5461147.257865647
42,0.0013355172000491,3876720.5823153937,2072.1482504957808,5783046.83338911
43,0.0014197609360427,4106087.6201886837,2193.059281989869,6125633.619555654
44,0.001509306232639,4350177.880914304,2321.5270858994118,6490264.595860359
45,0.0016044867234841,4609954.98702815,2458.020577916419,6878389.500103806
46,0.0017056570381951,4886447.870548575,2603.0371950170565,7291557.463748647
47,0.0018131941236612,5180755.424434369,2757.104921765065,7731423.415745295
48,0.001927498648497,5494051.956217832,2920.7838528391912,8199756.872232542
49,0.0020489964958799,5827592.160999436,3094.6679587208446,8698450.201217338
50,0.0021781403503325,6182717.230973777,3279.387376999208,9229527.752401844
51,0.002315411384364,6560861.275121994,3475.6103732317997,9795155.74994216
52,0.0024613210512544,6963558.634641326,3684.0455465930386,10397652.509394271
53,0.0026164129906591,7392450.36026551,3905.444156855012,11039501.346778778
54,0.0027812650541374,7849293.196581115,4140.602656646867,11723361.967419062
55,0.002956491458149,8335967.430202882,4390.365021838035,12452084.991818411
56,0.0031427450725411,8854488.028733851,4655.625847957173,13228726.690176195
57,0.0033407198530531,9407013.07888928,4937.332839464732,14056564.134944564
58,0.003551153426902,9995856.119084064,5236.49025635462,14939114.345587095
59,0.003774829841081,10623497.298646277,5554.1611096840115,15880152.489736795
60,0.0040125824836128,11292597.31479759,5891.471475398009,16883732.940985106
61,0.0042652971886403,12006010.951290173,6249.613388437658,17954212.891678125
62,0.0045339155369246,12766804.01694806,6629.848880149114,19096274.859057017
63,0.0048194383640476,13578268.30786406,7033.512728308868,20314955.557658058
64,0.0051229294893895,14444931.14686039,7462.1771781879825,21617222.526123468
65,0.0054455196797761,15371158.741202693,7917.426994980073,23009796.72101906
66,0.0057884108625624,16361319.379426248,8400.885618410977,24499403.590013564
67,0.0061528806038515,17420129.583442885,8914.272475094076,26093319.82414025
68,0.0065402868685326,18552685.64747473,9459.409427731973,27799421.423741758
69,0.0069520730798745,19764495.528412443,10038.224415241828,29626239.819018573
70,0.0073897734975248,21061516.942860458,10652.7579567445,31583021.78384995
71,0.007855018933954,22450194.42862048,11305.171035988178,33679792.2795468
72,0.0083495428306416,23937505.27767379,11997.747686585295,35927428.97490151
73,0.0088751877166441,25531004.874123704,12732.905196266049,38337738.925397485
74,0.0094339120736092,27238877.48547647,13513.198489282535,40923546.81114596
75,0.0100277976328127,29071407.34792842,14341.46282807658,43700951.78567243
76,0.0106590571314074,31044068.01881689,15221.10614337532,46694093.839038886
77,0.0113300425567821,33168559.772828978,16155.266504520176,49921431.97573399
78,0.0120432539097478,35457630.471096344,17147.2700451924,53403142.032091565
79,0.0128013485192026,37925176.41615997,18200.637402060293,57161284.52705016
80,0.0136071509429787,40586337.22882923,19319.097793279205,61219982.63849506
81,0.0144636634917625,43457618.876659915,20506.597098615344,65605624.328602
82,0.0153740774152976,46567228.7517287,21767.459425006713,70362769.75159608
83,0.0163417847925492,49946865.63059015,23106.28184349083,75541675.8369872
84,0.0173703911701307,53621561.55257032,24527.79871803735,81182694.29166368
85,0.0184637289960819,57618699.13222743,26037.025167316042,87330157.51668377
86,0.0196258718990517,61968206.322164,27639.26556724057,94032735.69094391
87,0.0208611498660863,66739364.82338902,29338.796007441757,101399937.8260296
88,0.0221741653755746,71985262.79044057,31140.903251334268,109517336.02787083
89,0.0235698105454594,77753289.87357178,33051.53748062225,118462625.5204156
90,0.0250532853606058,84104281.84968635,35076.6489608598,128335167.3153235
91,0.0266301170472411,91181177.88412298,37219.85318618294,139362660.62703538
92,0.0283061806666507,99060480.185557,39487.77797012368,151671819.65542954
93,0.0300877210048604,107841871.0057987,41887.244876294826,165427590.26807672
94,0.0319813758398639,117767360.3271391,44424.1228535812,181023746.72689107
95,0.0339942006730843,128960269.75572789,47106.32920647488,198668923.89847705
96,0.0361336950172165,141726649.70911095,49941.62178114153,218868773.95335555
97,0.0384078303383959,156373407.81877965,52938.16013746009,242137932.81250232
98,0.0408250797568017,173336292.75939378,56103.97038461595,269206527.92595273
99,0.0433944496163545,193274316.9980323,59445.96373101796,301180816.6591336
100,0.0461255130411345,217086764.78857046,62973.769375686614,339596587.48420125
101,0.0490284456035445,245952231.60437724,66697.11226973005,386497193.0773678
102,0.0521140632371149,281652260.77898985,70632.59322534678,445022529.193397
103,0.055393862535207,327506941.4069735,74812.32641325823,521066883.2078632
104,0.0588800635857623,388710800.45869285,79309.12987985594,623945969.7142721
105,0.0625856555016954,475846927.86827993,117830.54218266738,772465292.092794
106,0.066524444816569,602040763.7870082,1263889.9851526658,1002788835.7710551
107,0.0707111069258682,810979873.044032,18894516.000323422,1409148483.5888734
108,0.0751612407655363,1232380588.5651822,107630575.59958753,2211977750.085594
109,0.0798914269314969,1975922045.510859,394576419.5538125,3554873583.072376
110,0.0849192894567089,2917724412.902567,871274030.2147098,5175211257.832398
111,0.0902635614759262,3869603861.0951743,1443702968.5121045,6740876164.440711
112,0.09594415502282,4821545945.359557,2157547960.482605,8215739747.628522
113,0.1019822352195195,5768421644.615689,2974149368.2547965,9596593981.114368
114,0.1084002991349902,6710359014.533518,3839182201.3777966,10892447646.151062
115,0.1152222596060656,7683792595.805817,4746599770.66869,12166338432.614056
116,0.1224735343334382,8672642848.560259,5659314354.167285,13418378036.595615
117,0.1301811405845699,9768184479.270058,6646307056.433178,14772903960.325626
118,0.1383737958563704,10962188315.661608,7697444029.849322,16225590930.074585
119,0.1470820248727017,12216479660.717182,8782302222.216639,17734042365.45291
120,0.1563382733153642,13581545251.956337,9946580438.621151,19361473532.12496
121,0.1661770287123125,15048506646.83763,11184394727.643988,21099607307.093422
122,0.1766349489335134,16605648576.72353,12484944342.716331,22936473034.56841
123,0.1877509987732042,18245007227.570053,13846865661.538904,24863636014.512478
124,0.1995665951274378,19945921063.527214,15259887126.979605,26856471472.98787
125,0.2121257613078284,21515582254.29417,16587157054.847692,28681455794.407555
126,0.2254752910664469,22972391405.4514,17844880706.34367,30365300199.335285
127,0.2396649229430033,24322023381.00464,19043322668.967255,31918572816.296738
128,0.254747525583909,25586672673.374107,20192680048.98969,33370782386.71828
129,0.2707792947236918,26757178091.93384,21300806493.57105,34713262605.85943
130,0.2878199625626911,27844350624.81327,22377376555.212215,35959409051.58834
131,0.3059330203211465,28874102191.15885,23430711561.251328,37140058574.36786
132,0.3251859547988841,29881224998.329712,24472247046.243256,38292060853.57373
133,0.3456504998219913,30867023945.407227,25507355913.746082,39419722129.41582
134,0.3674029035133375,31837496871.89208,26540314810.93374,40529976318.47296
135,0.3905242123827513,32798444880.52548,27574744341.686146,41629523562.15439
136,0.4151005732953395,33755223878.581566,28614427152.42865,42724242046.08294
137,0.441223554443037,34712144619.895096,29662174797.532646,43819273281.0534
138,0.4689904865152881,35672291796.595375,30720365142.80865,44918726039.271065
139,0.4985048253400114,36638888126.223816,31791501845.82908,46026055968.58421
140,0.5298765373460022,37614609379.2386,32878246750.336033,47143710381.01499
141,0.5632225092829511,38601937196.824905,33982620032.197067,48274591391.34385
142,0.5986669837256415,39602498358.37238,35105940870.142654,49421481563.94123
143,0.6363420219849549,40617968324.185646,36249821251.6469,50586401731.26694
144,0.6763879961504276,41650532598.62291,37416556953.90807,51771040703.44381
145,0.7189541120976422,42702039552.13705,38608092157.99829,52977341139.92365
146,0.7641989654091118,43773824182.161095,39825691657.23992,54207381748.6366
147,0.8122911322799389,44866751619.908676,41070119765.37412,55462477741.85592
148,0.863409797609884,45982046833.618744,42342874590.737,56743595864.76808
149,0.9177454226220328,47120957440.91099,43645459197.29002,58052004766.984406
150,0.9755004544955148,48284904480.85543,44979293919.48265,59389684306.26745
151,1.0368900806562715,49475050996.216156,46345520802.63525,60758277348.00013
152,1.1021430305362618,50692256515.53081,47745327499.7418,62158388808.674965
153,1.1715024277883397,51937582023.52332,49180113200.943535,63590882619.2166
154,1.2452266961320566,53211542366.15028,50650447820.27899,65056435348.77184
155,1.3235905222054385,54515267380.23132,52157498600.80133,66556958967.16584
156,1.4068858790101912,55849266444.764175,53701882581.1113,68093243604.422615
157,1.495423113763558,57214602725.109245,55285037747.451,69665888758.62274
158,1.5895321042100168,58612331456.299774,56908208422.65177,71275807122.29272
159,1.6895634877010717,60043190584.28361,58572194537.40716,72923805112.95453
160,1.7958899676225353,61507257148.1501,60277077141.37185,74610525739.12852
161,1.90890770203686,63004910051.73895,62023353718.110245,76336732133.00647
162,2.0290377797144146,64536660319.03435,63811839940.3672,78102635758.86476
163,2.156727789053219,66103310299.710815,65643616147.71534,79908721463.90778
164,2.2924534857326804,67705902165.24979,67519703712.80679,81755987588.32828
165,2.436720565314818,69344759248.77753,69440355843.46486,83644891488.88365
166,2.5900665473974294,71019179167.5446,71404760105.9613,85575011181.58075
167,2.7530627783393107,72729085176.5465,73412887627.4615,87546308800.4222
168,2.926316560019396,74474800363.21703,75465211149.0991,89558887393.52325
169,3.110473412561302,76256927023.1866,77562411674.29633,91612964516.91861
170,3.306219479453876,78076386626.36809,79704977883.65494,93709346577.97833
171,3.514284084028897,79932613618.8852,81892188033.3227,95847315366.61418
172,3.735442446821024,81824989573.03406,84123342964.23735,98026256799.96667
173,3.970518573934506,83752888224.5967,86397639309.11887,100245648946.06764
174,4.220388327178317,85716436857.61798,88715161756.32089,102505455076.47272
175,4.4859826874086215,87715854386.91574,91075704523.83018,104805337095.9896
176,4.768291223237344,89751197413.51633,93478773706.57184,107144915260.51512
177,5.0683657780307865,91821932308.17163,95923683728.62593,109523339038.5892
178,5.387324388935532,93927286634.03305,98409489124.62279,111939548370.27405
179,5.726355452533427,96066262836.7096,100934913355.19495,114392622590.57765
180,6.086722152646269,98238440897.41109,103498897813.46046,116881996784.01541
181,6.46976716678764,100443623926.0829,106100126429.617,119406859684.22571
182,6.876917668797451,102681009470.3512,108737429949.52545,121965615103.26332
183,7.309690646298365,104949496530.37581,111409550167.2361,124556583765.94658
184,7.769698552786209,107248195844.35873,114115467131.56677,127178349021.87476
185,8.258655315413288,109575317773.65794,116852743838.30681,129828706659.97891
186,8.778382720848807,111929423282.27583,119617483242.13664,132505979886.1185
187,9.330817203009252,114308666915.53821,122407155432.28613,135207775889.33885
188,9.918017057948864,116709485160.70848,125217765031.04466,137929378106.50897
189,10.542170112791956,119123929278.00597,128039878128.53503,140661042645.41458
190,11.20560187728043,121551674300.49693,130872469527.76341,143401846519.83246
191,11.910784208308094,123991686162.08293,133711913197.19124,146150238285.06476
192,12.660344519724656,126442306102.98236,136556529732.41571,148904361537.84232
193,13.457075571723797,128903213881.68063,139406758045.9572,151664018551.95065
194,14.30394587628944,131368804873.71404,142255116125.30353,154423192203.03183
195,15.204110757469294,133843002475.46465,145104551652.1647,157185722693.31076
196,16.160924107684878,136313693950.83461,147939761258.76486,159937278586.8941
197,17.177950883880392,138792443878.59122,150776492257.29422,162691476446.6219
198,18.258980390069443,141283163780.5751,153618747154.38382,165451437642.97205
