energy,nu_e,nu_mu,nu_tau,nu_e_bar,nu_mu_bar,nu_tau_bar
-3.031809,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.029508,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.027207,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.024906,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.022605,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.020304,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.018003,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.015702,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.013401,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.0111,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.008799,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.006498,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.004197,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-3.001896,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-2.999595,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-2.997294,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-2.994993,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-2.992692,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-2.990391,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-2.98809,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
